Lan;HDia;InAr;InMan;Vardtid;Antal
1;E00-E90;1997;1;16,16666667;6
1;I00-I99;1997;1;7,301886792;159
1;M20-M25;1997;1;0;1
1;M70-M79;1997;1;3;1
1;M86-M90;1997;1;2;3
1;S00-T98;1997;1;25;1
1;E00-E90;1997;2;12;6
1;I00-I99;1997;2;6,323529412;170
1;L00-L99;1997;2;4;1
1;M00-M03;1997;2;4;1
1;S00-T98;1997;2;5;2
1;C00D48;1997;3;10;1
1;E00-E90;1997;3;10,2;5
1;I00-I99;1997;3;6,515923567;157
1;M86-M90;1997;3;4;1
1;S00-T98;1997;3;6,333333333;3
1;C00D48;1997;4;1,5;2
1;E00-E90;1997;4;12;3
1;I00-I99;1997;4;6,005586592;179
1;L00-L99;1997;4;2;1
1;Q00-Q99;1997;4;2,5;2
1;S00-T98;1997;4;22;1
1;C00D48;1997;5;6;1
1;E00-E90;1997;5;9,428571429;7
1;G00-G99;1997;5;2;1
1;I00-I99;1997;5;6,854166667;144
1;L00-L99;1997;5;9;1
1;M05-M14;1997;5;5;1
1;S00-T98;1997;5;1;1
1;E00-E90;1997;6;15;5
1;I00-I99;1997;6;5,941935484;155
1;M86-M90;1997;6;60;1
1;M95-M99;1997;6;3;1
1;Q00-Q99;1997;6;5;1
1;S00-T98;1997;6;2,5;2
1;Z00-Z99;1997;6;13;1
1;C00D48;1997;7;2;1
1;E00-E90;1997;7;9,25;4
1;I00-I99;1997;7;6,506578947;152
1;L00-L99;1997;7;9;1
1;R00-R99;1997;7;22;1
1;S00-T98;1997;7;10,33333333;3
1;C00D48;1997;8;8,666666667;3
1;E00-E90;1997;8;11,75;8
1;I00-I99;1997;8;6,465517241;116
1;M70-M79;1997;8;2;1
1;M80-M85;1997;8;8;1
1;M86-M90;1997;8;3;1
1;C00D48;1997;9;6;1
1;E00-E90;1997;9;5,5;4
1;I00-I99;1997;9;6,066666667;180
1;S00-T98;1997;9;3;2
1;C00D48;1997;10;6;1
1;E00-E90;1997;10;9;5
1;I00-I99;1997;10;5,932989691;194
1;M86-M90;1997;10;2;1
1;S00-T98;1997;10;7,5;2
1;C00D48;1997;11;59;1
1;E00-E90;1997;11;7,5;6
1;I00-I99;1997;11;6,179487179;156
1;M80-M85;1997;11;8;1
1;R00-R99;1997;11;0;1
1;S00-T98;1997;11;13;3
1;E00-E90;1997;12;13,25;4
1;I00-I99;1997;12;6,188811189;143
1;M86-M90;1997;12;4;1
1;Q00-Q99;1997;12;8;1
1;S00-T98;1997;12;6,2;5
1;E00-E90;1998;1;3,5;2
1;I00-I99;1998;1;6,858895706;163
1;S00-T98;1998;1;12;2
1;E00-E90;1998;2;7,333333333;9
1;I00-I99;1998;2;6,584795322;171
1;L00-L99;1998;2;1;1
1;M86-M90;1998;2;29;1
1;S00-T98;1998;2;6,5;2
1;E00-E90;1998;3;7,75;4
1;I00-I99;1998;3;6,864130435;184
1;L00-L99;1998;3;1;1
1;M00-M03;1998;3;24;1
1;M80-M85;1998;3;33;1
1;M86-M90;1998;3;1;1
1;S00-T98;1998;3;6;3
1;A00B99;1998;4;20;1
1;E00-E90;1998;4;7,333333333;3
1;I00-I99;1998;4;6,355029586;169
1;S00-T98;1998;4;4;1
1;C00D48;1998;5;12;1
1;E00-E90;1998;5;11,88888889;9
1;I00-I99;1998;5;6,706293706;143
1;S00-T98;1998;5;9;1
1;C00D48;1998;6;2;1
1;E00-E90;1998;6;7,444444444;9
1;I00-I99;1998;6;5,492307692;130
1;M15-M19;1998;6;2;1
1;M86-M90;1998;6;7;1
1;R00-R99;1998;6;14;1
1;S00-T98;1998;6;4,5;2
1;E00-E90;1998;7;23,875;8
1;I00-I99;1998;7;4,964285714;112
1;L00-L99;1998;7;2;1
1;M05-M14;1998;7;11;1
1;C00D48;1998;8;24;2
1;E00-E90;1998;8;19;1
1;I00-I99;1998;8;5,56302521;119
1;M86-M90;1998;8;1;1
1;R00-R99;1998;8;7;1
1;S00-T98;1998;8;9,8;5
1;C00D48;1998;9;29;1
1;E00-E90;1998;9;10,57142857;7
1;I00-I99;1998;9;5,260273973;146
1;L00-L99;1998;9;4;1
1;M20-M25;1998;9;6;1
1;M86-M90;1998;9;6,5;2
1;Q00-Q99;1998;9;3,25;4
1;S00-T98;1998;9;4,333333333;3
1;E00-E90;1998;10;10,66666667;3
1;I00-I99;1998;10;5,456692913;127
1;L00-L99;1998;10;9;1
1;M20-M25;1998;10;3;1
1;M60-M63;1998;10;3;1
1;M86-M90;1998;10;3;1
1;S00-T98;1998;10;3;1
1;Z00-Z99;1998;10;3,5;2
1;C00D48;1998;11;6;1
1;E00-E90;1998;11;15,66666667;6
1;I00-I99;1998;11;5,105263158;133
1;Q00-Q99;1998;11;1;1
1;S00-T98;1998;11;6;3
1;Z00-Z99;1998;11;1;1
1;C00D48;1998;12;4,5;2
1;E00-E90;1998;12;2,8;5
1;I00-I99;1998;12;7,304347826;115
1;M86-M90;1998;12;7;1
1;S00-T98;1998;12;23,33333333;3
1;E00-E90;1999;1;18;2
1;I00-I99;1999;1;5,765432099;162
1;L00-L99;1999;1;31;1
1;R00-R99;1999;1;19;1
1;S00-T98;1999;1;6;1
1;E00-E90;1999;2;9,666666667;9
1;I00-I99;1999;2;6,651898734;158
1;Q00-Q99;1999;2;4;1
1;S00-T98;1999;2;7,666666667;3
1;C00D48;1999;3;5;2
1;E00-E90;1999;3;7;4
1;I00-I99;1999;3;6,703296703;182
1;L00-L99;1999;3;10;2
1;M86-M90;1999;3;4;2
1;Q00-Q99;1999;3;1;1
1;S00-T98;1999;3;2;1
1;Z00-Z99;1999;3;2;1
1;C00D48;1999;4;15;2
1;E00-E90;1999;4;8,1;10
1;G00-G99;1999;4;5,5;2
1;I00-I99;1999;4;5,610169492;177
1;M00-M03;1999;4;9;1
1;M65-M68;1999;4;3;1
1;Z00-Z99;1999;4;3;1
1;C00D48;1999;5;2;2
1;E00-E90;1999;5;4,692307692;13
1;I00-I99;1999;5;6,338983051;177
1;S00-T98;1999;5;4,5;2
1;C00D48;1999;6;26;1
1;E00-E90;1999;6;6,944444444;18
1;I00-I99;1999;6;4,893081761;159
1;L00-L99;1999;6;10;1
1;M80-M85;1999;6;8;1
1;R00-R99;1999;6;4;1
1;S00-T98;1999;6;3;3
1;C00D48;1999;7;9;1
1;E00-E90;1999;7;12;8
1;I00-I99;1999;7;5,496240602;133
1;K00-K93;1999;7;7;1
1;M86-M90;1999;7;3,666666667;3
1;Q00-Q99;1999;7;1;1
1;S00-T98;1999;7;4,5;4
1;Z00-Z99;1999;7;55;1
1;E00-E90;1999;8;8,555555556;9
1;I00-I99;1999;8;6,968152866;157
1;M86-M90;1999;8;1;1
1;R00-R99;1999;8;5,5;2
1;S00-T98;1999;8;3,4;5
1;C00D48;1999;9;9;1
1;E00-E90;1999;9;4,923076923;13
1;I00-I99;1999;9;6,22;200
1;L00-L99;1999;9;2,5;2
1;S00-T98;1999;9;3,666666667;3
1;E00-E90;1999;10;11,28571429;14
1;I00-I99;1999;10;5,885416667;192
1;L00-L99;1999;10;1,5;2
1;M86-M90;1999;10;6;1
1;Q00-Q99;1999;10;12;1
1;S00-T98;1999;10;6;3
1;A00B99;1999;11;10;1
1;E00-E90;1999;11;7,642857143;14
1;I00-I99;1999;11;5,882075472;212
1;S00-T98;1999;11;3,333333333;3
1;Z00-Z99;1999;11;10;1
1;E00-E90;1999;12;6;4
1;I00-I99;1999;12;5,903846154;156
1;M86-M90;1999;12;3;1
1;E00-E90;2000;1;5,666666667;9
1;I00-I99;2000;1;6,869047619;168
1;M86-M90;2000;1;3;1
1;Q00-Q99;2000;1;7;1
1;S00-T98;2000;1;16,5;2
1;E00-E90;2000;2;5,272727273;11
1;I00-I99;2000;2;6,540540541;185
1;S00-T98;2000;2;5;1
1;Z00-Z99;2000;2;1;1
1;C00D48;2000;3;6;1
1;E00-E90;2000;3;4,9;10
1;I00-I99;2000;3;5,61849711;173
1;M05-M14;2000;3;28;1
1;M86-M90;2000;3;9;2
1;S00-T98;2000;3;14,25;4
1;C00D48;2000;4;5;2
1;E00-E90;2000;4;9,6;5
1;I00-I99;2000;4;6,036809816;163
1;M86-M90;2000;4;3,5;2
1;R00-R99;2000;4;3;1
1;S00-T98;2000;4;8;2
1;E00-E90;2000;5;4;10
1;I00-I99;2000;5;6,225641026;195
1;L00-L99;2000;5;8;1
1;N00-N99;2000;5;35,5;2
1;R00-R99;2000;5;0;1
1;S00-T98;2000;5;11,66666667;6
1;E00-E90;2000;6;5;9
1;I00-I99;2000;6;6,659259259;135
1;M20-M25;2000;6;3;1
1;M86-M90;2000;6;2;1
1;R00-R99;2000;6;1;1
1;S00-T98;2000;6;4;3
1;E00-E90;2000;7;7,444444444;9
1;I00-I99;2000;7;7,089430894;123
1;L00-L99;2000;7;9;1
1;M86-M90;2000;7;3;1
1;S00-T98;2000;7;6;2
1;E00-E90;2000;8;6,714285714;7
1;I00-I99;2000;8;6,027586207;145
1;M86-M90;2000;8;35,5;2
1;S00-T98;2000;8;6;3
1;E00-E90;2000;9;6,857142857;7
1;I00-I99;2000;9;6,597014925;134
1;M86-M90;2000;9;4;1
1;R00-R99;2000;9;6;2
1;S00-T98;2000;9;1;1
1;C00D48;2000;10;17;1
1;E00-E90;2000;10;7,571428571;7
1;I00-I99;2000;10;6,450331126;151
1;M00-M03;2000;10;2;1
1;M86-M90;2000;10;8;1
1;S00-T98;2000;10;2,5;2
1;Z00-Z99;2000;10;61,5;2
1;C00D48;2000;11;1;1
1;E00-E90;2000;11;8,666666667;3
1;I00-I99;2000;11;6,571428571;133
1;L00-L99;2000;11;34;1
1;M86-M90;2000;11;2;2
1;Q00-Q99;2000;11;1;1
1;R00-R99;2000;11;7;1
1;S00-T98;2000;11;5;3
1;A00B99;2000;12;70;1
1;I00-I99;2000;12;7,87254902;102
1;M80-M85;2000;12;3;1
1;R00-R99;2000;12;2,5;2
1;S00-T98;2000;12;9;1
1;C00D48;2001;1;9;2
1;E00-E90;2001;1;5,666666667;9
1;I00-I99;2001;1;7,417647059;170
1;L00-L99;2001;1;5;1
1;M20-M25;2001;1;7;1
1;M86-M90;2001;1;2,666666667;3
1;R00-R99;2001;1;0;1
1;S00-T98;2001;1;5,571428571;7
1;C00D48;2001;2;15,5;2
1;E00-E90;2001;2;7,142857143;7
1;G00-G99;2001;2;11;1
1;I00-I99;2001;2;8,12244898;147
1;M80-M85;2001;2;8;2
1;M86-M90;2001;2;1,5;2
1;N00-N99;2001;2;19;1
1;S00-T98;2001;2;14;2
1;A00B99;2001;3;12;1
1;C00D48;2001;3;7;2
1;E00-E90;2001;3;4;6
1;I00-I99;2001;3;7,874172185;151
1;N00-N99;2001;3;13;1
1;R00-R99;2001;3;0,5;2
1;S00-T98;2001;3;2;1
1;E00-E90;2001;4;8,818181818;11
1;I00-I99;2001;4;7,861313869;137
1;S00-T98;2001;4;4,428571429;7
1;C00D48;2001;5;14,66666667;3
1;E00-E90;2001;5;6,25;8
1;I00-I99;2001;5;7,092857143;140
1;J00-J99;2001;5;34;1
1;M60-M63;2001;5;1;1
1;M86-M90;2001;5;3;1
1;M95-M99;2001;5;3;1
1;S00-T98;2001;5;3,5;4
1;C00D48;2001;6;7;2
1;E00-E90;2001;6;4,5;6
1;I00-I99;2001;6;6,913793103;116
1;L00-L99;2001;6;9;1
1;M86-M90;2001;6;3,75;4
1;N00-N99;2001;6;18;1
1;S00-T98;2001;6;3,142857143;7
1;A00B99;2001;7;46;1
1;C00D48;2001;7;6;1
1;E00-E90;2001;7;9,5;4
1;I00-I99;2001;7;6,366071429;112
1;M00-M03;2001;7;2;1
1;M86-M90;2001;7;10,5;2
1;S00-T98;2001;7;11;5
1;E00-E90;2001;8;8,833333333;6
1;I00-I99;2001;8;7,043478261;115
1;M86-M90;2001;8;2;1
1;R00-R99;2001;8;1;1
1;Z00-Z99;2001;8;84;1
1;E00-E90;2001;9;4,4;5
1;I00-I99;2001;9;6,713333333;150
